data_ocorrencia,hora_ocorrencia,regiao_administrativa,tipo_crime,sexo_vitima,idade_vitima,risco
2023-01-14,21:00,0,0,2,19,5.2413228358886325e-08
2023-01-20,02:00,0,0,2,17,5.2413228358886325e-08
2023-01-24,20:15,0,0,2,30,5.2413228358886325e-08
2023-01-03,09:30,0,2,1,41,5.2413228358886325e-08
2023-01-18,20:00,0,2,1,54,5.2413228358886325e-08
2023-01-04,13:30,0,2,2,59,5.2413228358886325e-08
2023-01-17,03:00,0,2,2,30,5.2413228358886325e-08
2023-01-12,20:45,0,2,1,60,5.2413228358886325e-08
2023-01-12,11:15,0,2,1,27,5.2413228358886325e-08
2023-01-07,20:15,0,3,1,46,5.2413228358886325e-08
2023-01-27,17:45,0,3,2,46,5.2413228358886325e-08
2023-01-15,18:15,0,3,2,59,5.2413228358886325e-08
2023-01-14,06:15,0,3,1,51,5.2413228358886325e-08
2023-01-20,19:15,0,3,2,47,5.2413228358886325e-08
2023-01-07,23:30,0,3,2,37,5.2413228358886325e-08
2023-01-29,15:00,0,4,1,62,5.2413228358886325e-08
2023-01-23,16:30,0,4,1,46,5.2413228358886325e-08
2023-01-21,03:15,0,4,1,64,5.2413228358886325e-08
2023-01-23,20:15,0,4,2,25,5.2413228358886325e-08
2023-01-10,08:45,0,4,1,29,5.2413228358886325e-08
2023-01-06,19:45,0,4,2,55,5.2413228358886325e-08
2023-01-22,06:15,0,4,1,52,5.2413228358886325e-08
2023-01-07,17:15,0,4,2,46,5.2413228358886325e-08
2023-01-28,10:00,0,4,2,51,5.2413228358886325e-08
2023-01-01,00:00,0,4,2,31,5.2413228358886325e-08
2023-01-05,23:15,0,6,2,32,5.2413228358886325e-08
2023-01-19,06:30,0,6,2,57,5.2413228358886325e-08
2023-01-14,20:00,0,6,1,58,5.2413228358886325e-08
2023-01-03,16:00,0,6,1,64,5.2413228358886325e-08
2023-01-04,03:15,0,6,1,42,5.2413228358886325e-08
2023-01-08,01:15,0,8,1,42,5.2413228358886325e-08
2023-01-29,15:30,0,8,2,33,5.2413228358886325e-08
2023-01-24,23:00,0,8,1,28,5.2413228358886325e-08
2023-01-13,15:15,0,10,1,36,5.2413228358886325e-08
2023-01-31,10:45,0,10,1,64,5.2413228358886325e-08
2023-01-03,16:00,0,10,2,43,5.2413228358886325e-08
2023-01-26,18:15,0,10,2,36,5.2413228358886325e-08
2023-01-20,08:45,0,10,2,28,5.2413228358886325e-08
2023-01-18,14:30,0,10,2,51,5.2413228358886325e-08
2023-01-23,06:45,0,10,1,48,5.2413228358886325e-08
2023-01-26,18:15,0,10,2,39,5.2413228358886325e-08
2023-01-10,11:15,0,10,1,34,5.2413228358886325e-08
2023-01-13,14:45,0,10,1,22,5.2413228358886325e-08
2023-01-22,18:15,0,10,1,16,5.2413228358886325e-08
2023-01-30,10:00,0,10,2,42,5.2413228358886325e-08
2023-01-29,21:00,0,10,1,39,5.2413228358886325e-08
2023-01-19,05:30,0,10,1,61,5.2413228358886325e-08
2023-01-13,10:30,0,11,1,68,5.2413228358886325e-08
2023-01-26,22:45,0,11,1,39,5.2413228358886325e-08
2023-01-18,06:30,0,11,2,24,5.2413228358886325e-08
