data_ocorrencia,hora_ocorrencia,regiao_administrativa,tipo_crime,descricao_crime,sexo_vitima,idade_vitima,arma_utilizada,status
2023-01-14,21:00,Arniqueira,ESTUPRO,Vítima alega abuso em via pública.,Feminino,19,Não,registrado
2023-01-20,02:00,Arniqueira,ESTUPRO,Vítima alega abuso em via pública.,Feminino,17,Não,registrado
2023-01-24,20:15,Arniqueira,ESTUPRO,Vítima alega abuso em via pública.,Feminino,30,Não,registrado
2023-01-03,09:30,Arniqueira,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,41,Não,em investigação
2023-01-18,20:00,Arniqueira,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,54,Não,registrado
2023-01-04,13:30,Arniqueira,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,59,Não,registrado
2023-01-17,03:00,Arniqueira,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Feminino,30,Não,registrado
2023-01-12,20:45,Arniqueira,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,60,Não,em investigação
2023-01-12,11:15,Arniqueira,FURTO A TRANSEUNTE,Subtração de celular sem uso de violência.,Masculino,27,Não,registrado
2023-01-07,20:15,Arniqueira,FURTO EM VEÍCULO,Furto de objeto do interior do veículo.,Masculino,46,Não,em investigação
2023-01-27,17:45,Arniqueira,FURTO EM VEÍCULO,Furto de objeto do interior do veículo.,Feminino,46,Não,registrado
2023-01-15,18:15,Arniqueira,FURTO EM VEÍCULO,Furto de objeto do interior do veículo.,Feminino,59,Não,registrado
2023-01-14,06:15,Arniqueira,FURTO EM VEÍCULO,Furto de objeto do interior do veículo.,Masculino,51,Não,registrado
2023-01-20,19:15,Arniqueira,FURTO EM VEÍCULO,Furto de objeto do interior do veículo.,Feminino,47,Não,arquivado
2023-01-07,23:30,Arniqueira,FURTO EM VEÍCULO,Furto de objeto do interior do veículo.,Feminino,37,Não,registrado
2023-01-29,15:00,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Masculino,62,Não,registrado
2023-01-23,16:30,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Masculino,46,Não,em investigação
2023-01-21,03:15,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Masculino,64,Não,em investigação
2023-01-23,20:15,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Feminino,25,Não,arquivado
2023-01-10,08:45,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Masculino,29,Não,registrado
2023-01-06,19:45,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Feminino,55,Não,em investigação
2023-01-22,06:15,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Masculino,52,Não,registrado
2023-01-07,17:15,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Feminino,46,Não,em investigação
2023-01-28,10:00,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Feminino,51,Não,registrado
2023-01-01,00:00,Arniqueira,LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO,Veículo abandonado e recuperado.,Feminino,31,Não,registrado
2023-01-05,23:15,Arniqueira,ROUBO EM COMÉRCIO *,Assalto com arma de fogo em estabelecimento comercial.,Feminino,32,Sim,registrado
2023-01-19,06:30,Arniqueira,ROUBO EM COMÉRCIO *,Assalto com arma de fogo em estabelecimento comercial.,Feminino,57,Não,registrado
2023-01-14,20:00,Arniqueira,ROUBO EM COMÉRCIO *,Assalto com arma de fogo em estabelecimento comercial.,Masculino,58,Não,registrado
2023-01-03,16:00,Arniqueira,ROUBO EM COMÉRCIO *,Assalto com arma de fogo em estabelecimento comercial.,Masculino,64,Sim,registrado
2023-01-04,03:15,Arniqueira,ROUBO EM COMÉRCIO *,Assalto com arma de fogo em estabelecimento comercial.,Masculino,42,Sim,registrado
2023-01-08,01:15,Arniqueira,TENTATIVA DE HOMICÍDIO,Ocorrência registrada.,Masculino,42,Não,em investigação
2023-01-29,15:30,Arniqueira,TENTATIVA DE HOMICÍDIO,Ocorrência registrada.,Feminino,33,Não,registrado
2023-01-24,23:00,Arniqueira,TENTATIVA DE HOMICÍDIO,Ocorrência registrada.,Masculino,28,Não,em investigação
2023-01-13,15:15,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,36,Não,registrado
2023-01-31,10:45,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,64,Não,registrado
2023-01-03,16:00,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Feminino,43,Não,registrado
2023-01-26,18:15,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Feminino,36,Não,registrado
2023-01-20,08:45,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Feminino,28,Não,registrado
2023-01-18,14:30,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Feminino,51,Não,registrado
2023-01-23,06:45,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,48,Não,em investigação
2023-01-26,18:15,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Feminino,39,Não,registrado
2023-01-10,11:15,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,34,Não,registrado
2023-01-13,14:45,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,22,Não,em investigação
2023-01-22,18:15,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,16,Não,em investigação
2023-01-30,10:00,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Feminino,42,Não,arquivado
2023-01-29,21:00,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,39,Não,arquivado
2023-01-19,05:30,Arniqueira,TRÁFICO DE DROGAS,Ocorrência registrada.,Masculino,61,Não,em investigação
2023-01-13,10:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,68,Não,arquivado
2023-01-26,22:45,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Masculino,39,Não,em investigação
2023-01-18,06:30,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,24,Não,registrado
2023-01-03,11:00,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,34,Não,em investigação
2023-01-15,03:00,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,69,Não,em investigação
2023-01-15,15:45,Arniqueira,USO E PORTE DE DROGAS,Ocorrência registrada.,Feminino,42,Não,registrado
